id,name,sex,year,form,house,tutor,dob,age_sept,heritage,home_language,eal,pupil_premium,sen_status,sen_primary_need,avg_working_grade,reading_age,best_subject,weakest_subject,attendance_pct,lates_this_term,behaviour_points,detentions,suspensions,behaviour_tier,attendance_concern,emotionally_based_school_avoidance,description
HAR1001,Nathaniel Bailey,M,7,7A,Lea,Mr D. Okonjo,2015-04-23,11.4,Black Caribbean / Mixed Black Caribbean,Jamaican Patois,No,Yes,EHCP,ASD - Autism Spectrum Condition,2.8,7y 9m,English,Maths,87.5,21,200,24,2,poor,True,False,"Nathaniel Bailey has ASD - Autism Spectrum Condition and does far better with structure, warning of changes and a bit of patience. Average working grade 2.8. English is well above the rest; Maths is dragging the profile down. Reading age assessed at 7y 9m. Everything else follows from that. 200 behaviour points, 2 suspensions, and a permanent exclusion narrowly avoided after an incident with a vape and a fire alarm. 87.5% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives with an uncle who is also his named carer in a council flat on the fourth floor. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Runs anime and manga club and takes it more seriously than most of the staff do. On a pastoral support plan after a difficult autumn term. EHCP names 8 hours of TA support a week and access arrangements for exams."
HAR1002,Sumaiya Mia,F,7,7A,Lea,Mr D. Okonjo,2015-05-20,11.3,British Bangladeshi,Bengali,No,Yes,None,,4.9,10y 10m,Maths,Science,92.5,2,26,2,0,ok,False,False,"Sumaiya Mia is a grafter. Nothing comes easily but she keeps showing up and keeps trying. Currently 4.9 on average - on target in Maths, a full two grades off in Science. 26 behaviour points, mostly talking, phones and being late to period one. 92.5% attendance - enough to trigger a letter home but not a fine. Lives on the flats behind the Roman Road with both parents, both working in the family business, in a flat with a lift that never works. One of the leaders in boxercise; it's the one place she's consistently brilliant."
HAR1003,Danny Boyle,M,7,7A,Lea,Mr D. Okonjo,2015-03-25,11.4,White British,English,No,Yes,None,,2.8,9y 3m,Music,English,92.1,0,183,33,1,poor,False,False,"Danny Boyle is well known to every member of staff in the building, and not for the right reasons. Average working grade 2.8. Music is well above the rest; English is dragging the profile down. Reading age assessed at 9y 3m. Everything else follows from that. 183 points, 33 detentions and 1 fixed-term suspension. Last one was for calling a member of SLT a bitch in front of a Year 7 class. Attendance 92.1%, which the year team are keeping an eye on. Home is in a house with a converted loft room with mum, dad and four siblings. Goes to robotics club every week without fail. Working with the school counsellor weekly."
HAR1004,Ebru Celik,F,7,7A,Lea,Mr D. Okonjo,2015-07-07,11.2,White Other (Turkish / Kurdish),Zazaki,No,No,None,,7.2,11y 4m,Food Technology,RE,98.3,1,15,2,0,ok,False,False,"Ebru Celik reads well above her age and has an answer for everything, usually the right one. Reports are consistent: strong in Food Technology, weak in RE, average grade 7.2. 15 behaviour points and 2 detentions, all for the same three things. Attendance sits at 98.3% with no unauthorised absence. Lives with mum, dad and four siblings in a flat with a lift that never works. English isn't the main language at home, so letters get read by an older sibling. Big into BMX."
HAR1005,Tahmid Hussain,M,7,7A,Lea,Mr D. Okonjo,2015-06-22,11.2,British Bangladeshi,Bengali,Yes - developing,No,None,,4.4,9y 7m,Art,English,86.9,17,138,34,1,poor,True,False,"Tahmid Hussain runs the room if you let him, and most supply teachers let him. Currently 4.4 on average - on target in Art, a full two grades off in English. 138 points, 34 detentions and 1 fixed-term suspension. Last one was for calling a member of SLT a bitch in front of a Year 7 class. 86.9% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives with both parents, both working in the family business in a two-bed flat. Whoever's home in the morning is doing four school runs, so he's largely left to sort himself out. Goes to steel pans every week without fail. Mentored by the school's attendance and inclusion lead."
HAR1006,Mahiya Karim,F,7,7A,Lea,Mr D. Okonjo,2015-03-27,11.4,British Bangladeshi,Bengali,Yes - fluent,No,None,,1.4,7y 6m,Spanish,English,93.3,1,35,6,0,mixed,False,False,"Mahiya Karim is capable but so far behind that catching up now looks unrealistic without serious intervention. Average of 1.4 across the board, with a big spread between Spanish and English. Literacy is the bottleneck: reading age 7y 6m and handwriting that she's embarrassed about. 35 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 93.3%. Punctuality is the bigger problem: 1 lates this term. Lives on the flats behind the Roman Road with grandmother as main carer. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Goes to peer mentoring every week without fail. Child in Need plan open; social worker attends termly."
HAR1007,Idil Warsame,F,7,7A,Lea,Mr D. Okonjo,2015-06-25,11.2,Black African (Somali),Somali,Yes - fluent,Yes,None,,3.8,9y 0m,Food Technology,Maths,92.7,3,22,3,0,ok,False,False,"Idil Warsame is a grafter. Nothing comes easily but she keeps showing up and keeps trying. Sits on grade 3.8 overall. Teachers in Food Technology rate her highly, staff in Maths much less so. Reading age 9y 0m - well below her actual age of 11y 2m - so she can't access half the exam papers unaided. 22 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 92.7%, which the year team are keeping an eye on. Lives with mum and a disabled younger brother in a one-bed with the living room as a bedroom. English isn't the main language at home, so letters get read by an older sibling. Known across the year for cricket."
HAR1008,Poppy Pike,F,7,7A,Lea,Mr D. Okonjo,2015-04-03,11.4,White British,English,No,Yes,None,,2.6,8y 0m,Science,Art,100.0,0,41,8,0,mixed,False,False,"Poppy Pike has decided school isn't for her and spends most lessons proving it. Currently 2.6 on average - on target in Science, a full two grades off in Art. Reading age assessed at 8y 0m. Everything else follows from that. 41 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance sits at 100.0% with no unauthorised absence. Lives on the Chrisp Street area with grandmother as main carer, in a terraced house shared with an aunt's family. One of the leaders in peer mentoring; it's the one place she's consistently brilliant. Looked-after child, placed with foster carers in the borough since Year 8."
HAR1009,Anum Qureshi,F,7,7A,Lea,Mr D. Okonjo,2015-05-12,11.3,British Pakistani,Punjabi,Yes - fluent,Yes,None,,4.0,10y 5m,Computing,Maths,88.8,10,22,2,0,ok,True,False,"Anum Qureshi is a solid, steady student who does what's asked and not a great deal more. Working at grade 4.0 on average, with Computing the clear strength and Maths the obvious weak spot. 22 behaviour points, mostly talking, phones and being late to period one. 88.8% attendance - enough to trigger a letter home but not a fine. Lives with mum and three younger siblings in a council flat on the fourth floor. Would rather be at chess club than in any lesson and says so openly."
HAR1010,Gurdeep Desai,M,7,7A,Lea,Mr D. Okonjo,2014-10-14,11.9,British Indian,Tamil,Yes - new to English,Yes,None,,2.0,8y 10m,Food Technology,English,93.9,1,15,1,0,ok,False,False,"Gurdeep Desai is a new-to-English arrival who is far cleverer than his written work can show yet. Working at grade 2.0 on average, with Food Technology the clear strength and English the obvious weak spot. Reading age assessed at 8y 10m. Everything else follows from that. 15 behaviour points, mostly talking, phones and being late to period one. Attendance 93.9%. Punctuality is the bigger problem: 1 lates this term. At home it's mum and her partner, in temporary accommodation. Spends every break on football stats and fantasy leagues."
